date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:42:46	561/561	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:a86dca618d8c77af94b83d809ed8c856%22	https://zhp02c-hv.myshopify.com/robots.txt		(from )
04:42:47	609907/609907	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:f421baa955b07c76eac66ef38fd4bb58%22	https://zhp02c-hv.myshopify.com/pages/shopee	C:/Users/User/Downloads/pagina%20inicial%20da%20shopee/pageinicialshopee/zhp02c-hv.myshopify.com/pages/shopee.html	(from )
04:42:47	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Apr%202025%2007:42:47%20GMT	http://zhp02c-hv.myshopify.com/cdn/shop/t/3/assets/icon01.png?v=16333719806348789641745132243	C:/Users/User/Downloads/pagina%20inicial%20da%20shopee/pageinicialshopee/zhp02c-hv.myshopify.com/cdn/shop/t/3/assets/icon01.182f5.delayed	(from https://zhp02c-hv.myshopify.com/pages/shopee)
04:42:47	557/557	---M--	200	added ('OK')	image/png	date:Sun,%2020%20Apr%202025%2007:42:48%20GMT	https://zhp02c-hv.myshopify.com/cdn/shop/t/3/assets/icon01.png?v=16333719806348789641745132243	C:/Users/User/Downloads/pagina%20inicial%20da%20shopee/pageinicialshopee/zhp02c-hv.myshopify.com/cdn/shop/t/3/assets/icon0182f5.png	(from https://zhp02c-hv.myshopify.com/pages/shopee)
04:42:47	61061/61061	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ee85-zxOu6QS7pek93GMwnU4P2iFfd/Y%22	https://cdn.jsdelivr.net/npm/jsbarcode@3.11.0/dist/JsBarcode.all.min.js	C:/Users/User/Downloads/pagina%20inicial%20da%20shopee/pageinicialshopee/cdn.jsdelivr.net/npm/jsbarcode@3.11.0/dist/JsBarcode.all.min.js	(from https://zhp02c-hv.myshopify.com/pages/shopee)
04:42:48	105/105	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sun,%2020%20Apr%202025%2007:42:48%20GMT	https://cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.js	C:/Users/User/Downloads/pagina%20inicial%20da%20shopee/pageinicialshopee/cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.4.delayed	(from https://zhp02c-hv.myshopify.com/pages/shopee)
04:42:48	19927/19927	---MCZ	200	added ('OK')	application/javascript	etag:W/%224dd7-LQbB+CPzTBmYHGrgsOsPWGHF4Us%22	https://cdn.jsdelivr.net/gh/davidshimjs/qrcodejs@gh-pages/qrcode.min.js	C:/Users/User/Downloads/pagina%20inicial%20da%20shopee/pageinicialshopee/cdn.jsdelivr.net/gh/davidshimjs/qrcodejs@gh-pages/qrcode.min.js	(from https://zhp02c-hv.myshopify.com/pages/shopee)
04:42:48	89795/89795	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15ec3%22	https://code.jquery.com/jquery-3.6.4.min.js	C:/Users/User/Downloads/pagina%20inicial%20da%20shopee/pageinicialshopee/code.jquery.com/jquery-3.6.4.min.js	(from https://zhp02c-hv.myshopify.com/pages/shopee)
04:42:49	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%225f7b5b5f-e7d0%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	C:/Users/User/Downloads/pagina%20inicial%20da%20shopee/pageinicialshopee/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	(from https://zhp02c-hv.myshopify.com/pages/shopee)
04:42:49	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/Users/User/Downloads/pagina%20inicial%20da%20shopee/pageinicialshopee/code.jquery.com/jquery-3.6.0.min.js	(from https://zhp02c-hv.myshopify.com/pages/shopee)
04:42:49	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/Users/User/Downloads/pagina%20inicial%20da%20shopee/pageinicialshopee/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://zhp02c-hv.myshopify.com/pages/shopee)
04:42:50	366543/366543	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:72b7929e32ceb4126ecdce10a85f6a5a%22	https://zhp02c-hv.myshopify.com/pages/POST	C:/Users/User/Downloads/pagina%20inicial%20da%20shopee/pageinicialshopee/zhp02c-hv.myshopify.com/pages/POST.a.delayed	(from https://zhp02c-hv.myshopify.com/pages/shopee)
