date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:50:13	2531401/2531401	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:cd4d82775b490572e953fb2acd9ab329%22	https://61c070-6d.myshopify.com/products/kit-16-fraldas-pacotes-xg-14-224-un-pampers-pants-ajuste-total-xg	C:/Users/User/Desktop/pg%20produto%20shopee/PG%20SHOPEE/61c070-6d.myshopify.com/products/kit-16-fraldas-pacotes-xg-14-224-un-pampers-pants-ajuste-total-xg.html	(from )
00:50:13	561/561	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:f5affdf24d60f3126b8033d874204143%22	https://61c070-6d.myshopify.com/robots.txt		(from )
00:50:14	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2025%20Sep%202024%2003:50:14%20GMT	http://61c070-6d.myshopify.com/cdn/shop/t/2/assets/icon01.png?v=16333719806348789641726864107	C:/Users/User/Desktop/pg%20produto%20shopee/PG%20SHOPEE/61c070-6d.myshopify.com/cdn/shop/t/2/assets/icon01.1b124.delayed	(from https://61c070-6d.myshopify.com/products/kit-16-fraldas-pacotes-xg-14-224-un-pampers-pants-ajuste-total-xg)
00:50:14	557/557	---M--	200	added ('OK')	image/png	date:Wed,%2025%20Sep%202024%2003:50:14%20GMT	https://61c070-6d.myshopify.com/cdn/shop/t/2/assets/icon01.png?v=16333719806348789641726864107	C:/Users/User/Desktop/pg%20produto%20shopee/PG%20SHOPEE/61c070-6d.myshopify.com/cdn/shop/t/2/assets/icon01b124.png	(from https://61c070-6d.myshopify.com/products/kit-16-fraldas-pacotes-xg-14-224-un-pampers-pants-ajuste-total-xg)
00:50:15	61061/61061	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ee85-zxOu6QS7pek93GMwnU4P2iFfd/Y%22	https://cdn.jsdelivr.net/npm/jsbarcode@3.11.0/dist/JsBarcode.all.min.js	C:/Users/User/Desktop/pg%20produto%20shopee/PG%20SHOPEE/cdn.jsdelivr.net/npm/jsbarcode@3.11.0/dist/JsBarcode.all.min.js	(from https://61c070-6d.myshopify.com/products/kit-16-fraldas-pacotes-xg-14-224-un-pampers-pants-ajuste-total-xg)
00:50:16	198/198	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2025%20Sep%202024%2003:50:16%20GMT	https://cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.js	C:/Users/User/Desktop/pg%20produto%20shopee/PG%20SHOPEE/cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.4.delayed	(from https://61c070-6d.myshopify.com/products/kit-16-fraldas-pacotes-xg-14-224-un-pampers-pants-ajuste-total-xg)
00:50:16	19927/19927	---MCZ	200	added ('OK')	application/javascript	etag:W/%224dd7-LQbB+CPzTBmYHGrgsOsPWGHF4Us%22	https://cdn.jsdelivr.net/gh/davidshimjs/qrcodejs@gh-pages/qrcode.min.js	C:/Users/User/Desktop/pg%20produto%20shopee/PG%20SHOPEE/cdn.jsdelivr.net/gh/davidshimjs/qrcodejs@gh-pages/qrcode.min.js	(from https://61c070-6d.myshopify.com/products/kit-16-fraldas-pacotes-xg-14-224-un-pampers-pants-ajuste-total-xg)
00:50:16	89795/89795	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15ec3%22	https://code.jquery.com/jquery-3.6.4.min.js	C:/Users/User/Desktop/pg%20produto%20shopee/PG%20SHOPEE/code.jquery.com/jquery-3.6.4.min.js	(from https://61c070-6d.myshopify.com/products/kit-16-fraldas-pacotes-xg-14-224-un-pampers-pants-ajuste-total-xg)
00:50:17	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%225f7b5b5f-e7d0%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	C:/Users/User/Desktop/pg%20produto%20shopee/PG%20SHOPEE/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	(from https://61c070-6d.myshopify.com/products/kit-16-fraldas-pacotes-xg-14-224-un-pampers-pants-ajuste-total-xg)
00:50:18	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/Users/User/Desktop/pg%20produto%20shopee/PG%20SHOPEE/code.jquery.com/jquery-3.6.0.min.js	(from https://61c070-6d.myshopify.com/products/kit-16-fraldas-pacotes-xg-14-224-un-pampers-pants-ajuste-total-xg)
